85;INFECTION ORGANS DO EVER THE PATIENTS DEVELOP IN SO IF THAN OTHER CF LUNG WHAT
86;AERUGINOSA STAPHYLOCOCCUS AUREUS WHAT PSEUDOMONAS LUNG THE ROLE HAEMOPHILUS CF PATHOGENESIS PATIENTS OR IN DISEASE THAN OF OTHER IS INFLUENZAE BACTERIA
87;WHAT LUNG THE ROLE CF PATIENTS IN DISEASE OF IS PATHOGENESIS FUNGI
88;INFECTION THE OF ROLE CF PATIENTS IN DISEASE VIRAL IS LUNG WHAT
89;OTHER EPIDEMIOLOGY AERUGINOSA DO PSEUDOMONAS THE TO INDIVIDUALS FAMILY CF PATIENTS IN OR SPREAD OF SPECIFICALLY IS WHAT
90;STRAINS AERUGINOSA APPEARANCE PSEUDOMONAS FOR THE ARE MUCOID PATIENTS FACTORS IN RESPONSIBLE OF CF WHAT
91;OTHER THE ARE PANCREATIC OR DISEASE INSUFFICIENCY THAN OF MANIFESTATIONS UNUSUAL EXOCRINE CF LUNG WHAT
92;FOR THE CF PATIENTS SURVIVAL WITH OF IS PROGNOSIS WHAT
94;ANIMAL MODELS WHICH TO ARE AVAILABLE RELEVANT CF WHAT
95;FUNCTION BEEN FOUND SKELETAL ABNORMALITIES MUSCLE PATIENTS OR IN OF HAVE STRUCTURE CF WHAT
96;DENTAL IS PERIODONTAL CARIES OF CF PROBLEMS PATIENTS OR DISEASE EG IN INCREASED INCIDENCE AN THERE
97;OXYGEN TRANSPORT BY CF BLOOD PATIENTS ABNORMAL IN CELLS IS RED
98;FUNCTION AND/OR BRAIN CENTRAL EFFECTS ON THE ARE AND DEVELOPMENT SYSTEM OF NERVOUS CF WHAT
99;TASTE ARE ABNORMALITIES CF PATIENTS IN OF THERE
100;FOR THE CF AND HYPERTROPHIC PATIENTS IN TREATMENT OSTEOARTHROPATHY OF INCIDENCE IS WHAT
